Waypoint,Cthcm,Latitude,Longitude,Distance,Aspect,Slope,Prof Curv,Plan Curv,Vegetation,pH,Moisture,Sample depth,BD,LOI,TC 
wp13b,R,67.05136111,-50.43358333,14,E,0,0,0,mixed,6.6,8,0-5,1.17,2.80,28008.81729
wp14b,R,67.05180556,-50.43497222,14,E,20,-,+,mixed,6.8,3.5,0-5,0.89,3.18,31828.1773
wp15b,R,67.05188889,-50.43627778,14,E,0,0,0,mixed,6.4,7.5,0-5,1.00,2.51,25079.84065
wp16b,R,67.05241667,-50.43647222,14,E,0,0,0,mixed,6.5,8,0-5,0.88,4.41,44060.86359
wp17b,R,67.05280556,-50.43636111,14,E,0,0,0,mixed,6.8,3.5,0-5,1.04,2.75,27489.34744
wp18b,R,67.05241667,-50.43388889,14,E,5,-,+,shrubs,6.5,6.5,0-5,0.95,3.53,35344.86945
wp19b,R,67.05166667,-50.43188889,14,S,5,-,+,shrubs,6.7,5,0-5,1.14,1.59,15946.05795
wp20b,R,67.05094444,-50.42969444,14,S,3,0,0,shrubs,6.6,4,0-5,0.85,4.26,42570.73071
wp21b,R,67.05061111,-50.42794444,14,E,45,0,0,steppe,6.9,1,0-5,0.88,1.65,16473.9014
wp22b,R,67.05047222,-50.42702778,14,E,45,0,0,shrubs,7,1.5,0-5,1.17,1.22,12173.73795
wp23b,R,67.05002778,-50.42666667,14,E,0,0,0,mixed,6.7,4,0-5,0.78,2.75,27497.01023
wp24b,R,67.05141667,-50.42622222,14,E,5,+,-,shrubs,7,1,0-5,0.93,3.44,34379.43892
wp25b,R,67.05261111,-50.42647222,14,E,0,0,0,mixed,6.8,1,0-5,1.25,1.69,16888.29787
wp26b,R,67.05336111,-50.42786111,14,E,20,-,0,mixed,6.7,2,0-5,1.05,1.57,15729.99266
wp27b,R,67.05566667,-50.43330556,14,N,5,-,0,shrubs,7,1,0-5,1.47,0.13,1258.949742
wp1c,17b,66.982,-50.55747222,21,SE,3,+,-,shrub,6.8,4,0-5,0.70,3.38,33777.23353
